Name,RT [min],c_19,c_36,c_73,c_25,c_70,c_31,c_47,c_33,c_7,c_23,c_67,c_49,c_57,c_30,c_48,c_64,c_40,c_43,c_44,c_32
136.0385_1.47,1.474,16258.90358,3836.727615,22385.49353,9455.110718,9693.085126,48684.98058,28505.88511,21046.77398,20977.03752,9059.583764,10513.99432,19908.36867,11468.63222,12207.65823,12768.08557,26741.25868,15029.08071,11678.61614,11366.5567,10883.84537
136.0385_1.31,1.309,15750.5858,3518.615284,21294.71047,9131.616072,9287.369183,52195.00779,27246.39218,26943.09593,26878.97749,8759.074956,10248.67485,21810.02037,10863.04144,11549.32243,12214.08433,30276.40777,14198.74428,10955.8667,10004.3298,13902.60727
138.0317_5.27,5.266,1607.586793,1807.322976,2330.886139,1418.04905,1398.062992,40.38197989,1493.473057,2172.208022,1329.654918,1334.91907,1086.592315,1224.288279,1540.52071,1011.42031,1362.284228,1532.103315,1294.053848,1995.053076,28.3434782,1230.505812
138.1045_5.31,5.306,308.8825985,296.3800202,176.6806871,282.1520056,286.3812,1485.956944,394.868889,180.3382782,945.9102129,276.9355522,259.6291336,237.3325567,211.8538855,742.4344092,247.3727871,290.3589344,289.6915379,325.6865717,207.0544368,160.2666138
138.1045_6.09,6.085,3802.680508,2843.501538,3141.783402,3333.19769,1630.934357,6658.143266,3433.554903,1467.929337,11976.18473,2079.472665,1312.866054,1130.81623,2727.423097,1264.228685,5073.782331,1182.875857,765.4768824,4234.558346,2735.220561,711.6578535
138.1047_6.45,6.451,402.1557323,229.6382875,453.2166726,415.4705319,442.1984084,3943.099643,262.5236638,513.668423,494.2305364,362.4533228,605.1403541,466.1022906,475.851604,475.3328815,493.0798805,449.3761958,458.2089112,633.6014658,214.8420963,541.6571982
140.0627_5.81,5.805,1624.607222,539.4972204,670.2382806,3009.904828,788.0947677,1733.158001,2217.94972,395.4980372,2265.029773,2059.736725,1458.413004,1696.355048,2106.869237,353.2958938,2135.749018,1023.506557,613.8912411,2309.155927,2688.481448,427.8268861
140.0627_6.76,6.759,862.2762857,571.1369911,784.385511,637.8895419,856.5454936,1253.136002,670.047862,838.186718,395.2482685,818.8600543,635.0346457,969.1202438,839.9276488,937.4651384,886.4595328,842.9845959,739.5495934,1519.249833,634.5236633,800.621284
140.0628_6.08,6.079,870.2632961,342.826854,306.0211058,2195.084633,874.7585352,1372.328322,1009.677397,696.4498959,2015.52805,1730.356914,736.390602,619.2881792,476.9207904,260.5820139,833.6560899,321.5171764,293.0861832,1068.080651,547.0040346,313.0908847
140.9513_12.02,12.017,6868.429355,7417.176875,4707.546015,5552.442768,12704.21339,20746.36037,4099.292523,8915.209825,13496.15176,90178.18652,39572.07538,29963.04238,19238.67754,22915.90432,10382.91582,12364.93941,10135.1376,3560.105424,6507.427408,3668.950338
141.0579_2.96,2.961,644.3181023,1250.242412,707.4882182,1097.807902,888.6518582,1391.871637,679.4680717,710.7556582,642.4392268,1251.41996,880.4029876,1131.146855,905.5883652,636.1649081,1022.729146,1148.825984,1102.84836,1348.617159,1434.585246,640.8261292
142.0657_2.96,2.962,1948.151653,3814.463604,1788.451646,3062.916117,2892.59111,3744.16858,2469.438981,1953.837389,1963.036547,3982.606665,2469.255601,3527.214564,2488.443181,1825.326944,2763.045161,3316.205185,3384.443529,3721.6077,4214.988456,1833.654633
142.0993_4.41,4.414,2959.888039,275.8664681,47.86349818,64.19831309,397.0881334,118.8417837,385.8238221,140.8362124,97.75072999,74.00045468,421.5212581,159.9995128,367.334905,325.1823162,124.6637456,106.2014438,310.6960083,265.4415407,298.1471809,380.6336123
143.0735_2.96,2.96,5277.167293,5280.832751,6031.63366,8660.836687,7494.81084,10231.87245,6574.522388,5779.5114,5872.059352,9597.959985,7086.257608,9356.883006,6860.645777,5597.097176,7728.265591,9024.807919,9586.82641,9368.321726,10953.14758,5056.239153
145.0527_2.96,2.963,2732.235131,5777.120858,2968.95794,4581.482866,4631.776983,6266.108749,3908.975519,4074.545759,3545.349229,6195.164202,3901.115666,5220.202749,4621.087386,3027.44023,5251.841289,5903.135019,5998.80237,5982.635702,6563.925813,2945.617181
146.0367_1.80,1.796,441.6925012,2512.54874,433.7763843,210.0626953,409.6875029,2596.021497,732.6317142,463.6149037,410.5667105,2117.403898,909.9242723,573.6912191,720.8838799,420.6041727,1538.112942,286.2359556,1024.103868,1606.614932,1423.019222,1049.711538
146.0368_1.87,1.873,4641.255341,2512.54874,4385.423529,4085.240811,409.6875029,4901.619823,732.6317142,3130.829654,3935.960958,6147.106012,909.9242723,573.6912191,2515.564815,2766.351264,1709.847066,3832.633177,3567.505053,3987.192499,4836.815948,1049.711538
147.1048_3.06,3.064,802.1315684,697.5380381,1568.235393,294.9086566,460.347001,1081.580666,384.2566308,705.0271463,217.3102974,387.6386428,442.2469799,658.7259301,373.6963713,191.5291316,235.2890697,564.5270217,223.5472824,969.8262662,1977.573575,444.6696908
147.9950_11.72,11.724,999.3085458,10352.04132,299.5117362,245.982429,7889.18006,6844.644199,398.4441873,233.8686967,235.2974544,6713.555982,7801.569253,980.6166317,331.9320146,401.5153478,10738.47337,12845.50505,386.2507648,272.8509439,204.2561208,175.3468929
147.9957_11.99,11.989,3459.273379,2419.67837,4998.903401,15097.88718,1185.337874,3441.143855,3432.092945,9382.45769,1576.7284,1561.197455,2011.647035,6357.273299,4892.463879,3858.245283,1923.097344,2695.704924,5515.854896,10597.50602,1755.353771,9855.054875
148.0526_2.53,2.533,97198.9326,142766.2198,98888.51851,104824.7816,98892.93365,174140.5068,93868.52057,97273.62287,88896.93606,120781.7149,64316.94053,101051.5777,91423.86175,74390.93873,104086.501,80329.97755,116170.0812,168903.2083,157557.214,111095.3901
149.0509_1.39,1.394,14814.57238,11461.14676,10222.0128,8288.148528,13025.33131,13393.34248,5277.709533,10744.78251,7205.192912,10034.72547,10196.27418,18991.28708,6135.642756,7566.775368,6332.308174,9846.85919,10152.1483,25646.25537,8862.988227,16067.97925
150.0680_4.84,4.84,100.1237845,89.25276866,91.72251593,101.3197088,65.82698178,1716.964859,170.3574436,114.9935572,141.3920934,116.2640846,154.3608137,81.1138542,125.7726826,125.3338707,88.52038607,118.5456898,141.3933364,127.1330253,133.2796862,88.53133236
150.0892_2.24,2.24,764.0616587,1359.558568,1332.651248,1114.205562,1234.224448,8146.531398,1673.719054,1703.037863,1235.665433,1370.001934,1372.547724,1119.70526,1656.535773,1234.294959,2023.672179,2800.803168,1642.473423,3093.417462,2252.838947,2941.761777
151.0494_2.07,2.074,2738.467951,1031.584375,841.5202222,592.9986244,853.3967611,20.84615242,64.9199693,595.229128,503.3019335,660.8426685,829.8792972,1068.315319,2558.949234,457.4442201,1099.263647,68.03126127,719.088952,47.72614228,34.39066034,30.17263139
152.0334_1.68,1.677,445.4960462,424.1541639,1412.730924,1503.744166,1008.185115,3647.984992,1204.406105,1393.578809,1943.175977,776.4622729,1779.599819,1038.182216,758.5376922,870.9739163,745.1546885,1973.080466,2906.671865,909.6632469,3668.019587,1937.722161
152.0585_2.07,2.069,981.1516979,3376.506913,1970.839942,5739.05884,2709.868876,2648.420758,1585.511732,1595.082466,1910.252459,5376.280161,2964.980293,1835.145129,1057.259999,2946.370801,4212.272555,4478.70055,2677.971457,1105.087241,2088.232477,579.5624643
152.1202_6.45,6.448,366.3367746,466.45628,689.7744262,267.4930769,334.5995823,4027.523218,428.2944429,355.9704084,430.0932677,347.6099341,298.8123355,318.5431166,344.1652984,316.5734159,369.2255077,350.5485147,305.5072284,468.9464678,329.5367736,300.2482111
153.0767_2.11,2.113,895.2959313,1175.757396,1007.688201,1056.159087,785.4601016,2295.130126,1145.756044,577.9137336,823.0017591,1435.003545,1041.023615,1093.335847,607.3493658,716.4648042,1038.906948,1173.600764,1166.656965,1648.708172,1695.988796,921.5769013
153.1153_3.39,3.39,2854.017212,2968.289918,3018.640317,1453.764777,2419.421867,23.74222643,1758.591833,2776.59603,2539.8779,3725.204145,1768.438054,2000.516695,2708.308595,1563.669,2350.960869,1540.701839,2093.883561,2761.343334,23.84093814,1940.612491
157.1465_1.79,1.794,150.3193638,114.3671504,147.7053246,147.8238504,153.739393,166.9395858,141.728228,165.4124119,150.6314565,151.7330106,1912.63434,117.9938654,129.4963961,118.7169718,31.67379516,1384.596995,128.2936753,113.451895,123.9765267,113.5717345
158.0844_2.97,2.968,1363.656649,3052.313925,1593.759646,2276.279974,2394.652768,3239.800616,2018.629957,1914.099815,1894.100724,3189.615348,2125.960968,2478.991147,2041.432472,1533.902117,2417.159741,2713.914008,2836.832185,2877.408449,3186.631734,1823.819036
159.0684_2.14,2.144,537.5160217,783.7399153,2862.812846,939.848821,155.3701134,797.0257064,879.2172401,2489.376305,296.4356934,2988.028506,1628.735793,1344.34562,2809.107372,1612.252591,1238.268043,2513.44491,1865.584546,197.9124266,945.1414831,1248.075894
159.1259_1.20,1.196,3034.610047,336.4041684,358.7578947,201.4113155,412.5644031,298.7618019,288.1303167,416.2046662,96.61862015,159.0940331,228.5731338,100.963864,474.9367196,228.8465187,493.6976714,750.8848069,291.8394296,149.3016789,419.5285446,135.4875389
159.9819_11.91,11.914,317.9262751,3878.605608,1089.643662,476.9733351,379.1532688,522.8486506,880.7313782,1506.277639,3825.848913,360.6036949,1081.090829,5334.654182,5438.178483,1685.718753,328.4357746,265.2631693,916.2437358,1731.013152,7922.642208,887.7581883
162.1408_6.90,6.898,721.0586446,1409.838,2237.933005,484.6456076,504.4274603,996.2055037,342.3157053,391.6548409,1285.668952,781.132621,892.2889689,872.8788912,654.016798,2410.077024,493.4837486,498.6508313,679.9009376,866.1088059,2387.906598,974.3729311
163.9730_12.03,12.028,216.7515803,3953.940976,2134.727975,3944.764558,1034.538244,1022.011351,384.936666,1160.309512,590.1695363,521.4240534,231.8467157,1656.617163,1192.563348,1160.767218,586.9585952,519.1822604,765.496547,2513.508656,311.20444,845.7974739
164.0472_1.80,1.795,15925.97189,9524.474522,11692.78276,4753.088493,2544.889884,68753.60921,10602.00306,1469.354245,2899.178257,41394.46443,7723.256733,8838.920768,13105.50489,1666.010718,34500.16325,18739.98262,3776.032438,28646.75808,27952.69079,17693.66229
164.0474_1.88,1.878,83272.51551,104480.1775,80720.501,85532.0488,49907.06151,89286.69106,38652.77324,56757.08464,68254.56764,80055.8668,59254.82103,85143.92428,40384.96778,51181.86748,29742.88546,56954.74694,79500.92557,71736.61559,83333.27842,58324.5952
164.0837_4.87,4.872,190.7300506,71.70599935,250.7758413,166.7786139,65.52740962,1494.425542,164.5738208,96.31421056,1139.579551,193.8243831,71.37747264,102.1942732,112.3430697,138.0926176,257.5793782,119.502985,149.1052586,295.278425,195.9319742,125.6327703
